,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stakeholder engagement scales,,,,,,,,,,,,,,,,,,,,,,,,
2019,Agusdinata D. B. & Lukosch H. Supporting Interventions to Reduce Household Greenhouse Gas Emissions: A Transdisciplinary Role-Playing Game Development. Simulation & Gaming 50 359–376 (2019).,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,Albatayneh A. Hindiyeh M. & AlAmawi R. (2022). Potential of renewable energy in water-energy-food nexus in Jordan. Energy Nexus 7 100140.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,Alherbawi M. AlNouss A. Mckay G. & Al-Ansari T. (2020). Optimum utilization of Jatropha Seedcake considering the energy water and food Nexus. In Computer Aided Chemical Engineering (Vol. 48 pp. 229-234). Elsevier.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Alherbawi M. AlNouss A. McKay G. & Al-Ansari T. (2021). Optimum sustainable utilisation of the whole fruit of Jatropha curcas: An energy water and food nexus approach. Renewable and Sustainable Energy Reviews 137 110605.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,Almulla Y. Ramirez C. Joyce B. Huber-Lee A. & Fuso-Nerini F. (2022). From participatory process to robust decision-making: An Agriculture-water-energy nexus analysis for the Souss-Massa basin in Morocco. Energy for Sustainable Development 70 314-338.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,1,0,0,0,0,Y,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023,Alrebei O. F. Al-Ansari T. Al-Kuwari M. S. & Amhamed A. (2023). Evaluating the Food Profile in Qatar within the Energy–Water–Food Nexus Approach. Foods 12(2) 230.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,Amaral M. H. Benites-Lazaro L. L. de Almeida Sinisgalli P. A. da Fonseca Alves H. P. & Giatti L. L. (2021). Environmental injustices on green and blue infrastructure: Urban nexus in a macrometropolitan territory. Journal of Cleaner Production 289 125829.,N,N,0,0,0,0,0,0,0,N,0,0,0,0,1,1,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,An D. (2022). Interactions in water-energy-food security nexus: A case study of South Korea. Frontiers in Water 4 943053.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Anderson R. et al. An integrated modeling framework for crop and biofuel systems using the DSSAT and GREET models. Environmental Modelling & Software 108 40–50 (2018).,N,N,0,0,0,0,0,0,0,N,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Armengot L. Beltrán M. J. Schneider M. Simón X. & Pérez-Neira D. (2021). Food-energy-water nexus of different cacao production systems from a LCA approach. Journal of Cleaner Production 304 126941.,N,N,0,0,0,0,0,0,0,Y,0,0,1,0,0,0,0,1,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,Avellán T. et al. Considering Resources Beyond Water: Irrigation and Drainage Management in the Context of the Water–Energy–Food Nexus. Irrigation and Drainage 67 12–21 (2018).,N,N,0,0,0,0,0,0,0,Y,0,1,1,0,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018,Avraamidou S. Beykal B. Pistikopoulos I. P. E. & Pistikopoulos E. N. A hierarchical Food-Energy-Water Nexus (FEW-N) decision-making approach for Land Use Optimization. in Computer Aided Chemical Engineering vol. 44 1885–1890 (Elsevier 2018).,N,N,0,0,0,0,0,0,0,N,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,Avraamidou S. Milhorn A. Sarwar O. & Pistikopoulos E. N. Towards a Quantitative Food-Energy-Water Nexus Metric to Facilitate Decision Making in Process Systems: A Case Study on a Dairy Production Plant. in Computer Aided Chemical Engineering vol. 43 391–396 (Elsevier 2018).,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Azzam A. Samy G. Hagras M. A. & ElKholy R. (2023). Geographic information systems-based framework for water–energy–food nexus assessments. Ain Shams Engineering Journal 102224.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018,Baba K. Masuhara N. & Kimura M. Scenario-based Approach to Local Water-energy-food Nexus Issues with Experts and Stakeholders. in The Water-Energy-Food Nexus (eds. Endo A. & Oh T.) 321–333 (Springer Singapore 2018). doi:10.1007/978-981-10-7383-0_22.,N,N,0,0,0,0,0,0,0,N,0,0,0,0,0,1,0,0,0,0,Y,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2019,Babbar-Sebens M. et al. InterACTWEL Science Gateway for Adaptation Planning in Food-Energy-Water Sectors of Local Communities. in Proceedings of the Practice and Experience in Advanced Research Computing on Rise of the Machines (learning) 1–4 (ACM 2019). doi:10.1145/3332186.3333253.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,Babel M. S. Rahman M. Budhathoki A. & Chapagain K. (2023). Optimization of Economic Return from Water using Water-Energy-Food Nexus Approach: A Case of Karnafuli Basin Bangladesh. Energy Nexus 100186.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,"Baganz G. F. Schrenk M. Körner O. Baganz D. Keesman K. J. Goddek S. ... & Lohrberg, F. (2021). Causal relations of upscaled urban aquaponics and the Food-Water-Energy Nexus—A Berlin case study. Water 13(15) 2029.",N,N,0,0,0,0,0,0,0,Y,0,0,1,1,1,0,1,1,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,"Bahri, M. (2020). Analysis of the water, energy, food and land nexus using the system archetypes: A case study in the Jatiluhur reservoir West Java Indonesia. Science of the Total Environment, 716, 137025.",N,N,0,0,0,0,0,0,0,N,0,0,0,0,0,0,1,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,Bai C. & Sarkis J. The Water Energy Food and Sustainability Nexus Decision Environment: A Multistakeholder Transdisciplinary Approach. IEEE Trans. Eng. Manage. 1–15 (2019) doi:10.1109/TEM.2019.2946756.,N,N,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,1,0,0,Y,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,Bakhshianlamouki E. Masia S. Karimi P. van der Zaag P. & Sušnik J. (2020). A system dynamics model to quantify the impacts of restoration measures on the water-energy-food nexus in the Urmia lake Basin Iran. Science of the Total Environment 708 134874.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2023,"Balaican D. Nichersu I. Nichersu I. I. Pierce A. Wilhelmi O. Laborgne P. & Bratfanof E. (2023). Creating knowledge about food-water-energy nexus at a local scale: A participatory approach in Tulcea Romania. Environmental Science & Policy 141, 23-32.",Y,Y,1,0,0,1,0,0,1,Y,0,0,0,0,1,1,0,0,0,0,Y,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023,Bao K. Thrän D. & Schröter B. (2023). Land resource allocation between biomass and ground-mounted PV under consideration of the food–water–energy nexus framework at regional scale. Renewable Energy 203 323-333.,N,N,0,0,0,0,0,0,0,N,0,0,0,1,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,Barati A. A. Pour M. D. & Sardooei M. A. (2023). Water crisis in Iran: A system dynamics approach on water energy food land and climate (WEFLC) nexus. Science of The Total Environment 163549.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,0,0,1,1,0,Y,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,Batlle-Bayer L. Bala A. Aldaco R. Vidal-Monés B. Colomé R. & Fullana-i-Palmer P. (2021). An explorative assessment of environmental and nutritional benefits of introducing low-carbon meals to Barcelona schools. Science of the Total Environment 756 143879.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,Bayat F. Roozbahani A. & Hashemy Shahdany S. M. (2022). Performance Evaluation of Agricultural Surface Water Distribution Systems Based on Water-food-energy Nexus and Using AHP-Entropy-WASPAS Technique. Water Resources Management 36(12) 4697-4720.,N,N,0,0,0,0,0,0,0,N,0,1,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,Bazilian M. et al. Considering the energy water and food nexus: Towards an integrated modelling approach. Energy Policy 39 7896–7906 (2011).,N,N,0,0,0,0,0,0,0,N,0,0,0,0,1,0,0,1,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,Bazzana D. Gilioli G. & Zaitchik B. (2020). Impact of hydropower development on rural livelihood: An agent-based exploration. Journal of Cleaner Production 275 122333.,N,N,0,0,0,0,0,0,0,N,0,0,0,1,1,0,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Bazzana D. Gilioli G. Simane B. & Zaitchik B. (2021). Analyzing constraints in the water-energy-food nexus: The case of eucalyptus plantation in Ethiopia. Ecological Economics 180 106875.,N,N,0,0,0,0,0,0,0,Y,0,0,0,1,1,1,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,Bazzana D. Zaitchik B. & Gilioli G. (2020). Impact of water and energy infrastructure on local well-being: an agent-based analysis of the water-energy-food nexus. Structural Change and Economic Dynamics 55 165-176.,N,N,0,0,0,0,0,0,0,Y,0,0,0,1,1,1,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,Beck M. B. Chen C. Walker R. V. Wen Z. & Han J. (2023). Multi-sectoral analysis of smarter urban nitrogen metabolism: A case study of Suzhou China. Ecological Modelling 478 110286.,N,N,0,0,0,0,0,0,0,Y,0,0,0,1,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,Benites-Lazaro L. L. Giatti L. L. Junior W. S. & Giarolla A. (2020). Land-water-food nexus of biofuels: Discourse and policy debates in Brazil. Environmental Development 33 100491.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,Beykal B. Avraamidou S. Pistikopoulos I. P. Onel M. & Pistikopoulos E. N. (2020). Domino: Data-driven optimization of bi-level mixed-integer nonlinear problems. Journal of Global Optimization 78 1-36.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,Bhave A. G. Conway D. Dessai S. Dougill A. J. & Mkwambisi D. (2022). Stress-testing development pathways under a changing climate: water-energy-food security in the lake Malawi-Shire river system. Philosophical Transactions of the Royal Society A 380(2221) 20210134.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,1,0,0,0,0,Y,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2018,Bieber N. et al. Sustainable planning of the energy-water-food nexus using decision making tools. Energy Policy 113 584–607 (2018).,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,Biggs E. M. et al. Sustainable development and the water–energy–food nexus: A perspective on livelihoods. Environmental Science & Policy 54 389–397 (2015).,N,N,0,0,0,0,0,0,0,N,0,0,0,0,1,1,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Boluwade A. (2021). Impacts of climatic change and database information design on the water-energy-food nexus in water-scarce regions. Water-Energy Nexus 4 54-68.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Borge-Diez D. García-Moya F. J. & Rosales-Asensio E. (2021). Comprehensive assessment of Gran Canaria water-energy-food nexus with GIS-based tool. Journal of Cleaner Production 323 129197.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,Boyer D. & Ramaswami A. (2020). Comparing urban food system characteristics and actions in US and Indian cities from a multi‐environmental impact perspective: Toward a streamlined approach. Journal of Industrial Ecology 24(4) 841-854.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,Bréthaut C.Gallagher L. Dalton J. & Allouche J. Power dynamics and integration in the water-energy-food nexus: Learning lessons for transdisciplinary research in Cambodia. Environmental Science & Policy 94 153–162 (2019).,N,N,0,0,0,0,0,0,0,N,0,0,0,1,1,0,0,0,0,0,Y,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,Bruns A. Meisch S. Ahmed A. Meissner R. & Romero-Lankao P. (2022). Nexus disrupted: Lived realities and the water-energy-food nexus from an infrastructure perspective. Geoforum 133 79-88.,N,N,0,0,0,0,0,0,0,N,0,0,0,0,1,1,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Burnett Wada 2018 Accounting for Externalities in the Water Energy Food Nexus https://doi.org/10.1007/978-981-10-7383-0_18,N,N,0,0,0,0,0,0,0,N,0,0,0,0,0,1,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,Cabello V. Renner A. & Giampietro M. Relational analysis of the resource nexus in arid land crop production. Advances in Water Resources 130 258–269 (2019).,N,N,0,0,0,0,0,0,0,N,0,0,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Cabello V. Romero D. Musicki A. Guimaraes Pereira A. & Penate B. Co-creating narratives for WEF nexus governance: A quantitative story-telling case study in the Canary Islands. Sustainability Science (2021) 16:1363–1374,N,N,0,0,0,0,0,0,0,Y,0,0,0,1,0,1,0,0,0,0,Y,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2022,Campana P. E. Lastanao P. Zainali S. Zhang J. Landelius T. & Melton F. (2022). Towards an operational irrigation management system for Sweden with a water–food–energy nexus perspective. Agricultural Water Management 271 107734.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,Campana P. E. Stridh B. Amaducci S. & Colauzzi M. (2021). Optimisation of vertically mounted agrivoltaic systems. Journal of Cleaner Production 325 129091.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,Canessa C. Vavvos A. Triliva S. Kafkalas I. Vrachioli M. & Sauer J. (2022). Implementing a combined Delphi and Focus Group qualitative methodology in Nexus research designs—The case of the WEFE Nexus in Apokoronas Crete. Plos one 17(7) e0271443.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,1,1,1,0,Y,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021,Cansino-Loeza B. & Ponce-Ortega J. M. (2021). Sustainable assessment of Water-Energy-Food Nexus at regional level through a multi-stakeholder optimization approach. Journal of Cleaner Production 290 125194.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Cansino-Loeza B. del Carmen Munguia-Lopez A. & Ponce-Ortega J. M. (2022). A water-energy-food security nexus framework based on optimal resource allocation. Environmental Science & Policy 133 1-16.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,Cansino-Loeza B. del Carmen Munguía-López A. & Ponce-Ortega J. M. (2022). Optimizing the allocation of resources for the security of the water-energy-food nexus. In Computer Aided Chemical Engineering (Vol. 51 pp. 1579-1584). Elsevier.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Cansino-Loeza B. Tovar-Facio J. & Ponce-Ortega J. M. (2021). Stochastic optimization of the water-energy-food nexus in disadvantaged rural communities to achieve the sustainable development goals. Sustainable Production and Consumption 28 1249-1261.,N,N,0,0,0,0,0,0,0,N,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Caputo S. Schoen V. Specht K. Grard B. Blythe C. Cohen N. ... & Poniży L. (2021). Applying the food-energy-water nexus approach to urban agriculture: From FEW to FEWP (Food-Energy-Water-People). Urban Forestry & Urban Greening 58 126934.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,1,1,0,0,0,Y,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,"Carpenter S. R. et al. 2015. Plausible futures of a social-ecological system: Yahara watershed, Wisconsin USA. Ecology and Society 20(2):10.",N,N,0,0,0,0,0,0,0,N,0,1,0,0,1,1,0,0,1,0,Y,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2021,Casazza M. Xue J. Du S. Liu G. & Ulgiati S. (2021). Simulations of scenarios for urban household water and energy consumption. Plos one 16(4) e0249781.,N,N,0,0,0,0,0,0,0,Y,0,1,0,1,1,0,1,0,0,0,Y,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,Chai J. Shi H. Lu Q. & Hu Y. (2020). Quantifying and predicting the Water-Energy-Food-Economy-Society-Environment Nexus based on Bayesian networks-a case study of China. Journal of Cleaner production 256 120266.,N,N,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,Chamas Z. Abou Najm M. Al-Hindi M. Yassine A. & Khattar R. (2021). Sustainable resource optimization under water-energy-food-carbon nexus. Journal of Cleaner Production 278 123894.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,1,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
